"STATISTIC","Statistic Label","TLIST(D1)","Day","C04236V05009","Supply Type","UNIT","VALUE"
"NGSD01C01","Networked Gas Daily Supply","2018M01D15","2018 January 15","10","Networked gas supply - indigenous production","Gigawatt hours","116.702494"
"NGSD01C01","Networked Gas Daily Supply","2018M01D15","2018 January 15","20","Networked gas supply - imports","Gigawatt hours","17.554298"
"NGSD01C01","Networked Gas Daily Supply","2018M01D16","2018 January 16","-","All networked gas supply","Gigawatt hours","156.447212"
"NGSD01C01","Networked Gas Daily Supply","2018M01D16","2018 January 16","10","Networked gas supply - indigenous production","Gigawatt hours","82.800125"
"NGSD01C01","Networked Gas Daily Supply","2018M01D16","2018 January 16","20","Networked gas supply - imports","Gigawatt hours","73.647087"
"NGSD01C01","Networked Gas Daily Supply","2018M01D17","2018 January 17","-","All networked gas supply","Gigawatt hours","158.844613"
"NGSD01C01","Networked Gas Daily Supply","2018M01D17","2018 January 17","10","Networked gas supply - indigenous production","Gigawatt hours","117.938242"
"NGSD01C01","Networked Gas Daily Supply","2018M01D17","2018 January 17","20","Networked gas supply - imports","Gigawatt hours","40.906371"
"NGSD01C01","Networked Gas Daily Supply","2018M01D18","2018 January 18","-","All networked gas supply","Gigawatt hours","173.806475"
"NGSD01C01","Networked Gas Daily Supply","2018M01D18","2018 January 18","10","Networked gas supply - indigenous production","Gigawatt hours","117.330589"
"NGSD01C01","Networked Gas Daily Supply","2018M01D18","2018 January 18","20","Networked gas supply - imports","Gigawatt hours","56.475886"
"NGSD01C01","Networked Gas Daily Supply","2018M01D19","2018 January 19","-","All networked gas supply","Gigawatt hours","190.078221"
"NGSD01C01","Networked Gas Daily Supply","2018M01D19","2018 January 19","10","Networked gas supply - indigenous production","Gigawatt hours","116.737361"
"NGSD01C01","Networked Gas Daily Supply","2018M01D19","2018 January 19","20","Networked gas supply - imports","Gigawatt hours","73.34086"
"NGSD01C01","Networked Gas Daily Supply","2018M01D20","2018 January 20","-","All networked gas supply","Gigawatt hours","176.311917"
"NGSD01C01","Networked Gas Daily Supply","2018M01D20","2018 January 20","10","Networked gas supply - indigenous production","Gigawatt hours","116.641108"
"NGSD01C01","Networked Gas Daily Supply","2018M01D20","2018 January 20","20","Networked gas supply - imports","Gigawatt hours","59.670809"
"NGSD01C01","Networked Gas Daily Supply","2018M01D21","2018 January 21","-","All networked gas supply","Gigawatt hours","141.542744"
"NGSD01C01","Networked Gas Daily Supply","2018M01D21","2018 January 21","10","Networked gas supply - indigenous production","Gigawatt hours","116.607587"
"NGSD01C01","Networked Gas Daily Supply","2018M01D21","2018 January 21","20","Networked gas supply - imports","Gigawatt hours","24.935157"
"NGSD01C01","Networked Gas Daily Supply","2018M01D22","2018 January 22","-","All networked gas supply","Gigawatt hours","145.549139"
"NGSD01C01","Networked Gas Daily Supply","2018M01D22","2018 January 22","10","Networked gas supply - indigenous production","Gigawatt hours","116.520601"
"NGSD01C01","Networked Gas Daily Supply","2018M01D22","2018 January 22","20","Networked gas supply - imports","Gigawatt hours","29.028538"
"NGSD01C01","Networked Gas Daily Supply","2018M01D23","2018 January 23","-","All networked gas supply","Gigawatt hours","122.89653"
"NGSD01C01","Networked Gas Daily Supply","2018M01D23","2018 January 23","10","Networked gas supply - indigenous production","Gigawatt hours","107.677934"
"NGSD01C01","Networked Gas Daily Supply","2018M01D23","2018 January 23","20","Networked gas supply - imports","Gigawatt hours","15.218596"
"NGSD01C01","Networked Gas Daily Supply","2018M01D24","2018 January 24","-","All networked gas supply","Gigawatt hours","135.098063"
"NGSD01C01","Networked Gas Daily Supply","2018M01D24","2018 January 24","10","Networked gas supply - indigenous production","Gigawatt hours","103.78415"
"NGSD01C01","Networked Gas Daily Supply","2018M01D24","2018 January 24","20","Networked gas supply - imports","Gigawatt hours","31.313913"
"NGSD01C01","Networked Gas Daily Supply","2018M01D25","2018 January 25","-","All networked gas supply","Gigawatt hours","160.073287"
"NGSD01C01","Networked Gas Daily Supply","2018M01D25","2018 January 25","10","Networked gas supply - indigenous production","Gigawatt hours","113.888029"
"NGSD01C01","Networked Gas Daily Supply","2018M01D25","2018 January 25","20","Networked gas supply - imports","Gigawatt hours","46.185258"
"NGSD01C01","Networked Gas Daily Supply","2018M01D26","2018 January 26","-","All networked gas supply","Gigawatt hours","173.015182"
"NGSD01C01","Networked Gas Daily Supply","2018M01D26","2018 January 26","10","Networked gas supply - indigenous production","Gigawatt hours","115.539636"
"NGSD01C01","Networked Gas Daily Supply","2018M01D26","2018 January 26","20","Networked gas supply - imports","Gigawatt hours","57.475546"
"NGSD01C01","Networked Gas Daily Supply","2018M01D27","2018 January 27","-","All networked gas supply","Gigawatt hours","121.737248"
"NGSD01C01","Networked Gas Daily Supply","2018M01D27","2018 January 27","10","Networked gas supply - indigenous production","Gigawatt hours","115.483095"
"NGSD01C01","Networked Gas Daily Supply","2018M01D27","2018 January 27","20","Networked gas supply - imports","Gigawatt hours","6.254153"
"NGSD01C01","Networked Gas Daily Supply","2018M01D28","2018 January 28","-","All networked gas supply","Gigawatt hours","121.978851"
"NGSD01C01","Networked Gas Daily Supply","2018M01D28","2018 January 28","10","Networked gas supply - indigenous production","Gigawatt hours","115.365171"
"NGSD01C01","Networked Gas Daily Supply","2018M01D28","2018 January 28","20","Networked gas supply - imports","Gigawatt hours","6.61368"
"NGSD01C01","Networked Gas Daily Supply","2018M01D29","2018 January 29","-","All networked gas supply","Gigawatt hours","177.357039"
"NGSD01C01","Networked Gas Daily Supply","2018M01D29","2018 January 29","10","Networked gas supply - indigenous production","Gigawatt hours","115.392489"
"NGSD01C01","Networked Gas Daily Supply","2018M01D29","2018 January 29","20","Networked gas supply - imports","Gigawatt hours","61.96455"
"NGSD01C01","Networked Gas Daily Supply","2018M01D30","2018 January 30","-","All networked gas supply","Gigawatt hours","161.436839"
"NGSD01C01","Networked Gas Daily Supply","2018M01D30","2018 January 30","10","Networked gas supply - indigenous production","Gigawatt hours","106.837506"
"NGSD01C01","Networked Gas Daily Supply","2018M01D30","2018 January 30","20","Networked gas supply - imports","Gigawatt hours","54.599333"
"NGSD01C01","Networked Gas Daily Supply","2018M01D31","2018 January 31","-","All networked gas supply","Gigawatt hours","151.802993"
"NGSD01C01","Networked Gas Daily Supply","2018M01D31","2018 January 31","10","Networked gas supply - indigenous production","Gigawatt hours","115.748421"
"NGSD01C01","Networked Gas Daily Supply","2018M01D31","2018 January 31","20","Networked gas supply - imports","Gigawatt hours","36.054572"
"NGSD01C01","Networked Gas Daily Supply","2018M02D01","2018 February 01","-","All networked gas supply","Gigawatt hours","159.135079"
"NGSD01C01","Networked Gas Daily Supply","2018M02D01","2018 February 01","10","Networked gas supply - indigenous production","Gigawatt hours","103.67353"
"NGSD01C01","Networked Gas Daily Supply","2018M02D01","2018 February 01","20","Networked gas supply - imports","Gigawatt hours","55.461549"
