"STATISTIC","Statistic Label","TLIST(D1)","Day","C04132V04898","Network Gas Customer Type","UNIT","VALUE"
"NGSD02C01","Networked Gas Daily Demand","2018M07D28","2018 July 28","10","Power Plants","Gigawatt hours","89.426666"
"NGSD02C01","Networked Gas Daily Demand","2018M07D28","2018 July 28","-","All networked gas customers","Gigawatt hours","118.708533"
"NGSD02C01","Networked Gas Daily Demand","2018M07D29","2018 July 29","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","8.897367"
"NGSD02C01","Networked Gas Daily Demand","2018M07D29","2018 July 29","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","4.660444"
"NGSD02C01","Networked Gas Daily Demand","2018M07D29","2018 July 29","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.684123"
"NGSD02C01","Networked Gas Daily Demand","2018M07D29","2018 July 29","10","Power Plants","Gigawatt hours","98.363889"
"NGSD02C01","Networked Gas Daily Demand","2018M07D29","2018 July 29","-","All networked gas customers","Gigawatt hours","125.605823"
"NGSD02C01","Networked Gas Daily Demand","2018M07D30","2018 July 30","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.886408"
"NGSD02C01","Networked Gas Daily Demand","2018M07D30","2018 July 30","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.828111"
"NGSD02C01","Networked Gas Daily Demand","2018M07D30","2018 July 30","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.50183"
"NGSD02C01","Networked Gas Daily Demand","2018M07D30","2018 July 30","10","Power Plants","Gigawatt hours","99.826944"
"NGSD02C01","Networked Gas Daily Demand","2018M07D30","2018 July 30","-","All networked gas customers","Gigawatt hours","130.043293"
"NGSD02C01","Networked Gas Daily Demand","2018M07D31","2018 July 31","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.722727"
"NGSD02C01","Networked Gas Daily Demand","2018M07D31","2018 July 31","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.084248"
"NGSD02C01","Networked Gas Daily Demand","2018M07D31","2018 July 31","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.150432"
"NGSD02C01","Networked Gas Daily Demand","2018M07D31","2018 July 31","10","Power Plants","Gigawatt hours","76.900833"
"NGSD02C01","Networked Gas Daily Demand","2018M07D31","2018 July 31","-","All networked gas customers","Gigawatt hours","109.85824"
"NGSD02C01","Networked Gas Daily Demand","2018M08D01","2018 August 01","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.904204"
"NGSD02C01","Networked Gas Daily Demand","2018M08D01","2018 August 01","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.715202"
"NGSD02C01","Networked Gas Daily Demand","2018M08D01","2018 August 01","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.957756"
"NGSD02C01","Networked Gas Daily Demand","2018M08D01","2018 August 01","10","Power Plants","Gigawatt hours","86.745555"
"NGSD02C01","Networked Gas Daily Demand","2018M08D01","2018 August 01","-","All networked gas customers","Gigawatt hours","118.322717"
"NGSD02C01","Networked Gas Daily Demand","2018M08D02","2018 August 02","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","8.761017"
"NGSD02C01","Networked Gas Daily Demand","2018M08D02","2018 August 02","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.602047"
"NGSD02C01","Networked Gas Daily Demand","2018M08D02","2018 August 02","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.843113"
"NGSD02C01","Networked Gas Daily Demand","2018M08D02","2018 August 02","10","Power Plants","Gigawatt hours","125.306389"
"NGSD02C01","Networked Gas Daily Demand","2018M08D02","2018 August 02","-","All networked gas customers","Gigawatt hours","154.512566"
"NGSD02C01","Networked Gas Daily Demand","2018M08D03","2018 August 03","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","8.524207"
"NGSD02C01","Networked Gas Daily Demand","2018M08D03","2018 August 03","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.363395"
"NGSD02C01","Networked Gas Daily Demand","2018M08D03","2018 August 03","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.388739"
"NGSD02C01","Networked Gas Daily Demand","2018M08D03","2018 August 03","10","Power Plants","Gigawatt hours","127.306946"
"NGSD02C01","Networked Gas Daily Demand","2018M08D03","2018 August 03","-","All networked gas customers","Gigawatt hours","156.583287"
"NGSD02C01","Networked Gas Daily Demand","2018M08D04","2018 August 04","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","7.692188"
"NGSD02C01","Networked Gas Daily Demand","2018M08D04","2018 August 04","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.169299"
"NGSD02C01","Networked Gas Daily Demand","2018M08D04","2018 August 04","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.424817"
"NGSD02C01","Networked Gas Daily Demand","2018M08D04","2018 August 04","10","Power Plants","Gigawatt hours","128.501111"
"NGSD02C01","Networked Gas Daily Demand","2018M08D04","2018 August 04","-","All networked gas customers","Gigawatt hours","155.787415"
"NGSD02C01","Networked Gas Daily Demand","2018M08D05","2018 August 05","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","7.214967"
"NGSD02C01","Networked Gas Daily Demand","2018M08D05","2018 August 05","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","4.375607"
"NGSD02C01","Networked Gas Daily Demand","2018M08D05","2018 August 05","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.941028"
"NGSD02C01","Networked Gas Daily Demand","2018M08D05","2018 August 05","10","Power Plants","Gigawatt hours","119.728334"
"NGSD02C01","Networked Gas Daily Demand","2018M08D05","2018 August 05","-","All networked gas customers","Gigawatt hours","145.259936"
"NGSD02C01","Networked Gas Daily Demand","2018M08D06","2018 August 06","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","7.95087"
"NGSD02C01","Networked Gas Daily Demand","2018M08D06","2018 August 06","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.131146"
"NGSD02C01","Networked Gas Daily Demand","2018M08D06","2018 August 06","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.739379"
"NGSD02C01","Networked Gas Daily Demand","2018M08D06","2018 August 06","10","Power Plants","Gigawatt hours","123.7975"
"NGSD02C01","Networked Gas Daily Demand","2018M08D06","2018 August 06","-","All networked gas customers","Gigawatt hours","152.618895"
"NGSD02C01","Networked Gas Daily Demand","2018M08D07","2018 August 07","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.564253"
"NGSD02C01","Networked Gas Daily Demand","2018M08D07","2018 August 07","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.835347"
"NGSD02C01","Networked Gas Daily Demand","2018M08D07","2018 August 07","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.180263"
"NGSD02C01","Networked Gas Daily Demand","2018M08D07","2018 August 07","10","Power Plants","Gigawatt hours","119.087222"
"NGSD02C01","Networked Gas Daily Demand","2018M08D07","2018 August 07","-","All networked gas customers","Gigawatt hours","150.667085"
"NGSD02C01","Networked Gas Daily Demand","2018M08D08","2018 August 08","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.20176"
"NGSD02C01","Networked Gas Daily Demand","2018M08D08","2018 August 08","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.133529"
"NGSD02C01","Networked Gas Daily Demand","2018M08D08","2018 August 08","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.001286"
"NGSD02C01","Networked Gas Daily Demand","2018M08D08","2018 August 08","10","Power Plants","Gigawatt hours","108.285555"
"NGSD02C01","Networked Gas Daily Demand","2018M08D08","2018 August 08","-","All networked gas customers","Gigawatt hours","141.62213"
"NGSD02C01","Networked Gas Daily Demand","2018M08D09","2018 August 09","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.785437"
"NGSD02C01","Networked Gas Daily Demand","2018M08D09","2018 August 09","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.087573"
"NGSD02C01","Networked Gas Daily Demand","2018M08D09","2018 August 09","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.614947"
"NGSD02C01","Networked Gas Daily Demand","2018M08D09","2018 August 09","10","Power Plants","Gigawatt hours","122.745556"
"NGSD02C01","Networked Gas Daily Demand","2018M08D09","2018 August 09","-","All networked gas customers","Gigawatt hours","158.233513"
"NGSD02C01","Networked Gas Daily Demand","2018M08D10","2018 August 10","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","11.136684"
"NGSD02C01","Networked Gas Daily Demand","2018M08D10","2018 August 10","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.875535"
"NGSD02C01","Networked Gas Daily Demand","2018M08D10","2018 August 10","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.199713"
"NGSD02C01","Networked Gas Daily Demand","2018M08D10","2018 August 10","10","Power Plants","Gigawatt hours","118.975278"
"NGSD02C01","Networked Gas Daily Demand","2018M08D10","2018 August 10","-","All networked gas customers","Gigawatt hours","154.18721"
"NGSD02C01","Networked Gas Daily Demand","2018M08D11","2018 August 11","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.212125"
"NGSD02C01","Networked Gas Daily Demand","2018M08D11","2018 August 11","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.316145"
"NGSD02C01","Networked Gas Daily Demand","2018M08D11","2018 August 11","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.787581"
"NGSD02C01","Networked Gas Daily Demand","2018M08D11","2018 August 11","10","Power Plants","Gigawatt hours","111.125833"
"NGSD02C01","Networked Gas Daily Demand","2018M08D11","2018 August 11","-","All networked gas customers","Gigawatt hours","143.441684"
"NGSD02C01","Networked Gas Daily Demand","2018M08D12","2018 August 12","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","8.561741"
"NGSD02C01","Networked Gas Daily Demand","2018M08D12","2018 August 12","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","4.751426"
"NGSD02C01","Networked Gas Daily Demand","2018M08D12","2018 August 12","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.519012"
"NGSD02C01","Networked Gas Daily Demand","2018M08D12","2018 August 12","10","Power Plants","Gigawatt hours","126.260001"
"NGSD02C01","Networked Gas Daily Demand","2018M08D12","2018 August 12","-","All networked gas customers","Gigawatt hours","155.09218"
"NGSD02C01","Networked Gas Daily Demand","2018M08D13","2018 August 13","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.185263"
"NGSD02C01","Networked Gas Daily Demand","2018M08D13","2018 August 13","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.98053"
"NGSD02C01","Networked Gas Daily Demand","2018M08D13","2018 August 13","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.482432"
"NGSD02C01","Networked Gas Daily Demand","2018M08D13","2018 August 13","10","Power Plants","Gigawatt hours","118.960278"
"NGSD02C01","Networked Gas Daily Demand","2018M08D13","2018 August 13","-","All networked gas customers","Gigawatt hours","152.608503"
"NGSD02C01","Networked Gas Daily Demand","2018M08D14","2018 August 14","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.909922"
"NGSD02C01","Networked Gas Daily Demand","2018M08D14","2018 August 14","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.35363"
"NGSD02C01","Networked Gas Daily Demand","2018M08D14","2018 August 14","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.041319"
"NGSD02C01","Networked Gas Daily Demand","2018M08D14","2018 August 14","10","Power Plants","Gigawatt hours","80.948611"
"NGSD02C01","Networked Gas Daily Demand","2018M08D14","2018 August 14","-","All networked gas customers","Gigawatt hours","115.253482"
"NGSD02C01","Networked Gas Daily Demand","2018M08D15","2018 August 15","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.900012"
"NGSD02C01","Networked Gas Daily Demand","2018M08D15","2018 August 15","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.194275"
"NGSD02C01","Networked Gas Daily Demand","2018M08D15","2018 August 15","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.444206"
"NGSD02C01","Networked Gas Daily Demand","2018M08D15","2018 August 15","10","Power Plants","Gigawatt hours","78.895278"
"NGSD02C01","Networked Gas Daily Demand","2018M08D15","2018 August 15","-","All networked gas customers","Gigawatt hours","113.433771"
"NGSD02C01","Networked Gas Daily Demand","2018M08D16","2018 August 16","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","11.098353"
"NGSD02C01","Networked Gas Daily Demand","2018M08D16","2018 August 16","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.545885"
"NGSD02C01","Networked Gas Daily Demand","2018M08D16","2018 August 16","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.655001"
"NGSD02C01","Networked Gas Daily Demand","2018M08D16","2018 August 16","10","Power Plants","Gigawatt hours","81.045555"
"NGSD02C01","Networked Gas Daily Demand","2018M08D16","2018 August 16","-","All networked gas customers","Gigawatt hours","117.344794"
"NGSD02C01","Networked Gas Daily Demand","2018M08D17","2018 August 17","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","13.422885"
"NGSD02C01","Networked Gas Daily Demand","2018M08D17","2018 August 17","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.362758"
"NGSD02C01","Networked Gas Daily Demand","2018M08D17","2018 August 17","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.366897"
"NGSD02C01","Networked Gas Daily Demand","2018M08D17","2018 August 17","10","Power Plants","Gigawatt hours","68.594444"
"NGSD02C01","Networked Gas Daily Demand","2018M08D17","2018 August 17","-","All networked gas customers","Gigawatt hours","106.746984"
"NGSD02C01","Networked Gas Daily Demand","2018M08D18","2018 August 18","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","8.796818"
"NGSD02C01","Networked Gas Daily Demand","2018M08D18","2018 August 18","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.546261"
"NGSD02C01","Networked Gas Daily Demand","2018M08D18","2018 August 18","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","17.112216"
"NGSD02C01","Networked Gas Daily Demand","2018M08D18","2018 August 18","10","Power Plants","Gigawatt hours","74.361111"
"NGSD02C01","Networked Gas Daily Demand","2018M08D18","2018 August 18","-","All networked gas customers","Gigawatt hours","105.816406"
"NGSD02C01","Networked Gas Daily Demand","2018M08D19","2018 August 19","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","8.110192"
"NGSD02C01","Networked Gas Daily Demand","2018M08D19","2018 August 19","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","4.959278"
"NGSD02C01","Networked Gas Daily Demand","2018M08D19","2018 August 19","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.167824"
"NGSD02C01","Networked Gas Daily Demand","2018M08D19","2018 August 19","10","Power Plants","Gigawatt hours","115.504167"
"NGSD02C01","Networked Gas Daily Demand","2018M08D19","2018 August 19","-","All networked gas customers","Gigawatt hours","144.741461"
"NGSD02C01","Networked Gas Daily Demand","2018M08D20","2018 August 20","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.768517"
"NGSD02C01","Networked Gas Daily Demand","2018M08D20","2018 August 20","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.97893"
"NGSD02C01","Networked Gas Daily Demand","2018M08D20","2018 August 20","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.362565"
"NGSD02C01","Networked Gas Daily Demand","2018M08D20","2018 August 20","10","Power Plants","Gigawatt hours","132.896388"
"NGSD02C01","Networked Gas Daily Demand","2018M08D20","2018 August 20","-","All networked gas customers","Gigawatt hours","166.0064"
"NGSD02C01","Networked Gas Daily Demand","2018M08D21","2018 August 21","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.521924"
"NGSD02C01","Networked Gas Daily Demand","2018M08D21","2018 August 21","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.224496"
"NGSD02C01","Networked Gas Daily Demand","2018M08D21","2018 August 21","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.739473"
"NGSD02C01","Networked Gas Daily Demand","2018M08D21","2018 August 21","10","Power Plants","Gigawatt hours","119.303054"
"NGSD02C01","Networked Gas Daily Demand","2018M08D21","2018 August 21","-","All networked gas customers","Gigawatt hours","151.788947"
"NGSD02C01","Networked Gas Daily Demand","2018M08D22","2018 August 22","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.150504"
"NGSD02C01","Networked Gas Daily Demand","2018M08D22","2018 August 22","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.174953"
"NGSD02C01","Networked Gas Daily Demand","2018M08D22","2018 August 22","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.205129"
"NGSD02C01","Networked Gas Daily Demand","2018M08D22","2018 August 22","10","Power Plants","Gigawatt hours","127.926111"
"NGSD02C01","Networked Gas Daily Demand","2018M08D22","2018 August 22","-","All networked gas customers","Gigawatt hours","160.456697"
"NGSD02C01","Networked Gas Daily Demand","2018M08D23","2018 August 23","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","12.614328"
"NGSD02C01","Networked Gas Daily Demand","2018M08D23","2018 August 23","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.356344"
"NGSD02C01","Networked Gas Daily Demand","2018M08D23","2018 August 23","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.739019"
"NGSD02C01","Networked Gas Daily Demand","2018M08D23","2018 August 23","10","Power Plants","Gigawatt hours","80.099999"
"NGSD02C01","Networked Gas Daily Demand","2018M08D23","2018 August 23","-","All networked gas customers","Gigawatt hours","115.80969"
"NGSD02C01","Networked Gas Daily Demand","2018M08D24","2018 August 24","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","14.466708"
"NGSD02C01","Networked Gas Daily Demand","2018M08D24","2018 August 24","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.458736"
"NGSD02C01","Networked Gas Daily Demand","2018M08D24","2018 August 24","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.552621"
"NGSD02C01","Networked Gas Daily Demand","2018M08D24","2018 August 24","10","Power Plants","Gigawatt hours","83.206111"
"NGSD02C01","Networked Gas Daily Demand","2018M08D24","2018 August 24","-","All networked gas customers","Gigawatt hours","121.684176"
"NGSD02C01","Networked Gas Daily Demand","2018M08D25","2018 August 25","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","12.371607"
"NGSD02C01","Networked Gas Daily Demand","2018M08D25","2018 August 25","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.941592"
"NGSD02C01","Networked Gas Daily Demand","2018M08D25","2018 August 25","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.043296"
"NGSD02C01","Networked Gas Daily Demand","2018M08D25","2018 August 25","10","Power Plants","Gigawatt hours","104.818056"
"NGSD02C01","Networked Gas Daily Demand","2018M08D25","2018 August 25","-","All networked gas customers","Gigawatt hours","139.174551"
"NGSD02C01","Networked Gas Daily Demand","2018M08D26","2018 August 26","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","13.004761"
"NGSD02C01","Networked Gas Daily Demand","2018M08D26","2018 August 26","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.400531"
"NGSD02C01","Networked Gas Daily Demand","2018M08D26","2018 August 26","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.635356"
"NGSD02C01","Networked Gas Daily Demand","2018M08D26","2018 August 26","10","Power Plants","Gigawatt hours","60.530556"
"NGSD02C01","Networked Gas Daily Demand","2018M08D26","2018 August 26","-","All networked gas customers","Gigawatt hours","93.571204"
"NGSD02C01","Networked Gas Daily Demand","2018M08D27","2018 August 27","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","12.941835"
"NGSD02C01","Networked Gas Daily Demand","2018M08D27","2018 August 27","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.591803"
"NGSD02C01","Networked Gas Daily Demand","2018M08D27","2018 August 27","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.705923"
"NGSD02C01","Networked Gas Daily Demand","2018M08D27","2018 August 27","10","Power Plants","Gigawatt hours","90.746112"
"NGSD02C01","Networked Gas Daily Demand","2018M08D27","2018 August 27","-","All networked gas customers","Gigawatt hours","126.985673"
"NGSD02C01","Networked Gas Daily Demand","2018M08D28","2018 August 28","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","14.089868"
"NGSD02C01","Networked Gas Daily Demand","2018M08D28","2018 August 28","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.735514"
"NGSD02C01","Networked Gas Daily Demand","2018M08D28","2018 August 28","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.84503"
"NGSD02C01","Networked Gas Daily Demand","2018M08D28","2018 August 28","10","Power Plants","Gigawatt hours","110.011668"
"NGSD02C01","Networked Gas Daily Demand","2018M08D28","2018 August 28","-","All networked gas customers","Gigawatt hours","147.68208"
"NGSD02C01","Networked Gas Daily Demand","2018M08D29","2018 August 29","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","13.931828"
"NGSD02C01","Networked Gas Daily Demand","2018M08D29","2018 August 29","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.653108"
"NGSD02C01","Networked Gas Daily Demand","2018M08D29","2018 August 29","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.58227"
"NGSD02C01","Networked Gas Daily Demand","2018M08D29","2018 August 29","10","Power Plants","Gigawatt hours","126.508891"
"NGSD02C01","Networked Gas Daily Demand","2018M08D29","2018 August 29","-","All networked gas customers","Gigawatt hours","163.676097"
"NGSD02C01","Networked Gas Daily Demand","2018M08D30","2018 August 30","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","14.453145"
"NGSD02C01","Networked Gas Daily Demand","2018M08D30","2018 August 30","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.51633"
"NGSD02C01","Networked Gas Daily Demand","2018M08D30","2018 August 30","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.255643"
"NGSD02C01","Networked Gas Daily Demand","2018M08D30","2018 August 30","10","Power Plants","Gigawatt hours","128.446387"
"NGSD02C01","Networked Gas Daily Demand","2018M08D30","2018 August 30","-","All networked gas customers","Gigawatt hours","166.671505"
"NGSD02C01","Networked Gas Daily Demand","2018M08D31","2018 August 31","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","13.161176"
"NGSD02C01","Networked Gas Daily Demand","2018M08D31","2018 August 31","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","6.987319"
"NGSD02C01","Networked Gas Daily Demand","2018M08D31","2018 August 31","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.695515"
"NGSD02C01","Networked Gas Daily Demand","2018M08D31","2018 August 31","10","Power Plants","Gigawatt hours","102.268333"
"NGSD02C01","Networked Gas Daily Demand","2018M08D31","2018 August 31","-","All networked gas customers","Gigawatt hours","139.112343"
"NGSD02C01","Networked Gas Daily Demand","2018M09D01","2018 September 01","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","10.116094"
"NGSD02C01","Networked Gas Daily Demand","2018M09D01","2018 September 01","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.541769"
"NGSD02C01","Networked Gas Daily Demand","2018M09D01","2018 September 01","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.912171"
"NGSD02C01","Networked Gas Daily Demand","2018M09D01","2018 September 01","10","Power Plants","Gigawatt hours","112.96111"
"NGSD02C01","Networked Gas Daily Demand","2018M09D01","2018 September 01","-","All networked gas customers","Gigawatt hours","144.531144"
"NGSD02C01","Networked Gas Daily Demand","2018M09D02","2018 September 02","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","9.379858"
"NGSD02C01","Networked Gas Daily Demand","2018M09D02","2018 September 02","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","5.272626"
"NGSD02C01","Networked Gas Daily Demand","2018M09D02","2018 September 02","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.83741"
"NGSD02C01","Networked Gas Daily Demand","2018M09D02","2018 September 02","10","Power Plants","Gigawatt hours","91.704167"
"NGSD02C01","Networked Gas Daily Demand","2018M09D02","2018 September 02","-","All networked gas customers","Gigawatt hours","121.194061"
"NGSD02C01","Networked Gas Daily Demand","2018M09D03","2018 September 03","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","12.503144"
"NGSD02C01","Networked Gas Daily Demand","2018M09D03","2018 September 03","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.44987"
"NGSD02C01","Networked Gas Daily Demand","2018M09D03","2018 September 03","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","15.613565"
"NGSD02C01","Networked Gas Daily Demand","2018M09D03","2018 September 03","10","Power Plants","Gigawatt hours","103.632779"
"NGSD02C01","Networked Gas Daily Demand","2018M09D03","2018 September 03","-","All networked gas customers","Gigawatt hours","139.199358"
"NGSD02C01","Networked Gas Daily Demand","2018M09D04","2018 September 04","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","13.617849"
"NGSD02C01","Networked Gas Daily Demand","2018M09D04","2018 September 04","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.86851"
