"STATISTIC","Statistic Label","TLIST(D1)","Day","C04132V04898","Network Gas Customer Type","UNIT","VALUE"
"NGSD02C01","Networked Gas Daily Demand","2018M01D08","2018 January 08","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.228014"
"NGSD02C01","Networked Gas Daily Demand","2018M01D08","2018 January 08","10","Power Plants","Gigawatt hours","83.587224"
"NGSD02C01","Networked Gas Daily Demand","2018M01D08","2018 January 08","-","All networked gas customers","Gigawatt hours","180.109123"
"NGSD02C01","Networked Gas Daily Demand","2018M01D09","2018 January 09","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","64.68459"
"NGSD02C01","Networked Gas Daily Demand","2018M01D09","2018 January 09","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.608438"
"NGSD02C01","Networked Gas Daily Demand","2018M01D09","2018 January 09","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.037438"
"NGSD02C01","Networked Gas Daily Demand","2018M01D09","2018 January 09","10","Power Plants","Gigawatt hours","90.214999"
"NGSD02C01","Networked Gas Daily Demand","2018M01D09","2018 January 09","-","All networked gas customers","Gigawatt hours","178.545465"
"NGSD02C01","Networked Gas Daily Demand","2018M01D10","2018 January 10","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","62.758422"
"NGSD02C01","Networked Gas Daily Demand","2018M01D10","2018 January 10","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.546765"
"NGSD02C01","Networked Gas Daily Demand","2018M01D10","2018 January 10","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.424856"
"NGSD02C01","Networked Gas Daily Demand","2018M01D10","2018 January 10","10","Power Plants","Gigawatt hours","107.047224"
"NGSD02C01","Networked Gas Daily Demand","2018M01D10","2018 January 10","-","All networked gas customers","Gigawatt hours","192.777267"
"NGSD02C01","Networked Gas Daily Demand","2018M01D11","2018 January 11","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","65.044672"
"NGSD02C01","Networked Gas Daily Demand","2018M01D11","2018 January 11","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.124596"
"NGSD02C01","Networked Gas Daily Demand","2018M01D11","2018 January 11","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.365405"
"NGSD02C01","Networked Gas Daily Demand","2018M01D11","2018 January 11","10","Power Plants","Gigawatt hours","93.956665"
"NGSD02C01","Networked Gas Daily Demand","2018M01D11","2018 January 11","-","All networked gas customers","Gigawatt hours","182.491338"
"NGSD02C01","Networked Gas Daily Demand","2018M01D12","2018 January 12","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","63.432902"
"NGSD02C01","Networked Gas Daily Demand","2018M01D12","2018 January 12","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","9.788838"
"NGSD02C01","Networked Gas Daily Demand","2018M01D12","2018 January 12","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.232436"
"NGSD02C01","Networked Gas Daily Demand","2018M01D12","2018 January 12","10","Power Plants","Gigawatt hours","50.416389"
"NGSD02C01","Networked Gas Daily Demand","2018M01D12","2018 January 12","-","All networked gas customers","Gigawatt hours","136.870565"
"NGSD02C01","Networked Gas Daily Demand","2018M01D13","2018 January 13","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","54.02762"
"NGSD02C01","Networked Gas Daily Demand","2018M01D13","2018 January 13","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","8.013627"
"NGSD02C01","Networked Gas Daily Demand","2018M01D13","2018 January 13","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.412148"
"NGSD02C01","Networked Gas Daily Demand","2018M01D13","2018 January 13","10","Power Plants","Gigawatt hours","82.348334"
"NGSD02C01","Networked Gas Daily Demand","2018M01D13","2018 January 13","-","All networked gas customers","Gigawatt hours","156.801729"
"NGSD02C01","Networked Gas Daily Demand","2018M01D14","2018 January 14","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","53.279007"
"NGSD02C01","Networked Gas Daily Demand","2018M01D14","2018 January 14","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.590677"
"NGSD02C01","Networked Gas Daily Demand","2018M01D14","2018 January 14","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.040203"
"NGSD02C01","Networked Gas Daily Demand","2018M01D14","2018 January 14","10","Power Plants","Gigawatt hours","52.496944"
"NGSD02C01","Networked Gas Daily Demand","2018M01D14","2018 January 14","-","All networked gas customers","Gigawatt hours","125.406831"
"NGSD02C01","Networked Gas Daily Demand","2018M01D15","2018 January 15","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","58.730241"
"NGSD02C01","Networked Gas Daily Demand","2018M01D15","2018 January 15","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.068632"
"NGSD02C01","Networked Gas Daily Demand","2018M01D15","2018 January 15","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.487641"
"NGSD02C01","Networked Gas Daily Demand","2018M01D15","2018 January 15","10","Power Plants","Gigawatt hours","52.970278"
"NGSD02C01","Networked Gas Daily Demand","2018M01D15","2018 January 15","-","All networked gas customers","Gigawatt hours","134.256792"
"NGSD02C01","Networked Gas Daily Demand","2018M01D16","2018 January 16","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","73.182007"
"NGSD02C01","Networked Gas Daily Demand","2018M01D16","2018 January 16","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.564085"
"NGSD02C01","Networked Gas Daily Demand","2018M01D16","2018 January 16","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.438897"
"NGSD02C01","Networked Gas Daily Demand","2018M01D16","2018 January 16","10","Power Plants","Gigawatt hours","58.262223"
"NGSD02C01","Networked Gas Daily Demand","2018M01D16","2018 January 16","-","All networked gas customers","Gigawatt hours","156.447212"
"NGSD02C01","Networked Gas Daily Demand","2018M01D17","2018 January 17","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","70.572571"
"NGSD02C01","Networked Gas Daily Demand","2018M01D17","2018 January 17","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.3264"
"NGSD02C01","Networked Gas Daily Demand","2018M01D17","2018 January 17","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.070642"
"NGSD02C01","Networked Gas Daily Demand","2018M01D17","2018 January 17","10","Power Plants","Gigawatt hours","63.875"
"NGSD02C01","Networked Gas Daily Demand","2018M01D17","2018 January 17","-","All networked gas customers","Gigawatt hours","158.844613"
"NGSD02C01","Networked Gas Daily Demand","2018M01D18","2018 January 18","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","67.700434"
"NGSD02C01","Networked Gas Daily Demand","2018M01D18","2018 January 18","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.779963"
"NGSD02C01","Networked Gas Daily Demand","2018M01D18","2018 January 18","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.481356"
"NGSD02C01","Networked Gas Daily Demand","2018M01D18","2018 January 18","10","Power Plants","Gigawatt hours","80.844722"
"NGSD02C01","Networked Gas Daily Demand","2018M01D18","2018 January 18","-","All networked gas customers","Gigawatt hours","173.806475"
"NGSD02C01","Networked Gas Daily Demand","2018M01D19","2018 January 19","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","71.168778"
"NGSD02C01","Networked Gas Daily Demand","2018M01D19","2018 January 19","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.485084"
"NGSD02C01","Networked Gas Daily Demand","2018M01D19","2018 January 19","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.564637"
"NGSD02C01","Networked Gas Daily Demand","2018M01D19","2018 January 19","10","Power Plants","Gigawatt hours","93.859722"
"NGSD02C01","Networked Gas Daily Demand","2018M01D19","2018 January 19","-","All networked gas customers","Gigawatt hours","190.078221"
"NGSD02C01","Networked Gas Daily Demand","2018M01D20","2018 January 20","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","61.977321"
"NGSD02C01","Networked Gas Daily Demand","2018M01D20","2018 January 20","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","8.857228"
"NGSD02C01","Networked Gas Daily Demand","2018M01D20","2018 January 20","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.547645"
"NGSD02C01","Networked Gas Daily Demand","2018M01D20","2018 January 20","10","Power Plants","Gigawatt hours","91.929723"
"NGSD02C01","Networked Gas Daily Demand","2018M01D20","2018 January 20","-","All networked gas customers","Gigawatt hours","176.311917"
"NGSD02C01","Networked Gas Daily Demand","2018M01D21","2018 January 21","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","52.5344"
"NGSD02C01","Networked Gas Daily Demand","2018M01D21","2018 January 21","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","7.275866"
"NGSD02C01","Networked Gas Daily Demand","2018M01D21","2018 January 21","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","11.7047"
"NGSD02C01","Networked Gas Daily Demand","2018M01D21","2018 January 21","10","Power Plants","Gigawatt hours","70.027778"
"NGSD02C01","Networked Gas Daily Demand","2018M01D21","2018 January 21","-","All networked gas customers","Gigawatt hours","141.542744"
"NGSD02C01","Networked Gas Daily Demand","2018M01D22","2018 January 22","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","56.100075"
"NGSD02C01","Networked Gas Daily Demand","2018M01D22","2018 January 22","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.146431"
"NGSD02C01","Networked Gas Daily Demand","2018M01D22","2018 January 22","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","12.6768"
"NGSD02C01","Networked Gas Daily Demand","2018M01D22","2018 January 22","10","Power Plants","Gigawatt hours","66.625833"
"NGSD02C01","Networked Gas Daily Demand","2018M01D22","2018 January 22","-","All networked gas customers","Gigawatt hours","145.549139"
"NGSD02C01","Networked Gas Daily Demand","2018M01D23","2018 January 23","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","48.903334"
"NGSD02C01","Networked Gas Daily Demand","2018M01D23","2018 January 23","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","9.828009"
"NGSD02C01","Networked Gas Daily Demand","2018M01D23","2018 January 23","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.193242"
"NGSD02C01","Networked Gas Daily Demand","2018M01D23","2018 January 23","10","Power Plants","Gigawatt hours","50.971945"
"NGSD02C01","Networked Gas Daily Demand","2018M01D23","2018 January 23","-","All networked gas customers","Gigawatt hours","122.89653"
"NGSD02C01","Networked Gas Daily Demand","2018M01D24","2018 January 24","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","55.894374"
"NGSD02C01","Networked Gas Daily Demand","2018M01D24","2018 January 24","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.8672"
"NGSD02C01","Networked Gas Daily Demand","2018M01D24","2018 January 24","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.189545"
"NGSD02C01","Networked Gas Daily Demand","2018M01D24","2018 January 24","10","Power Plants","Gigawatt hours","55.146944"
"NGSD02C01","Networked Gas Daily Demand","2018M01D24","2018 January 24","-","All networked gas customers","Gigawatt hours","135.098063"
"NGSD02C01","Networked Gas Daily Demand","2018M01D25","2018 January 25","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","59.174489"
"NGSD02C01","Networked Gas Daily Demand","2018M01D25","2018 January 25","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.137066"
"NGSD02C01","Networked Gas Daily Demand","2018M01D25","2018 January 25","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.407842"
"NGSD02C01","Networked Gas Daily Demand","2018M01D25","2018 January 25","10","Power Plants","Gigawatt hours","76.35389"
"NGSD02C01","Networked Gas Daily Demand","2018M01D25","2018 January 25","-","All networked gas customers","Gigawatt hours","160.073287"
"NGSD02C01","Networked Gas Daily Demand","2018M01D26","2018 January 26","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","60.046113"
"NGSD02C01","Networked Gas Daily Demand","2018M01D26","2018 January 26","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.51915"
"NGSD02C01","Networked Gas Daily Demand","2018M01D26","2018 January 26","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.075752"
"NGSD02C01","Networked Gas Daily Demand","2018M01D26","2018 January 26","10","Power Plants","Gigawatt hours","88.374167"
"NGSD02C01","Networked Gas Daily Demand","2018M01D26","2018 January 26","-","All networked gas customers","Gigawatt hours","173.015182"
